passage	node	occurrence	OSMmorph	OSMtype	BHStype	OSMmorphSuffix	OSMsuffixType	BHSsuffixType
Genesis 24:45	11979	טֶ֨רֶם	HD	adverb	noun:potential preposition:	None	?	:
Genesis 24:49	12083	יֶשְׁכֶ֨ם	HTm	demonstrative	noun:copulative noun:	HSp2mp	pronominal	p:
Genesis 24:60	12282	רְבָבָ֑ה	HNcfsa	common	noun:noun of multitude:	None	?	:
Genesis 25:7	12523	שְׁנֵֽי	HAcmdc	cardinal number	noun::	None	?	:
Genesis 25:7	12528	מְאַ֥ת	HR	preposition	noun:cardinal:	None	?	:
Genesis 25:7	12529	שָׁנָ֛ה	HAcbsc	cardinal number	noun::	HNcfsa	common	:
Genesis 25:17	12670	שְׁנֵי֙	HAcmdc	cardinal number	noun::	None	?	:
Genesis 25:17	12673	מְאַ֥ת	HR	preposition	noun:cardinal:	None	?	:
Genesis 25:17	12674	שָׁנָ֛ה	HAcbsc	cardinal number	noun::	HNcfsa	common	:
Genesis 25:22	12769	לָ֥מָּה	HR	preposition	interrogative particle::	HTi	interrogative	:
Genesis 25:26	12826	כֵ֞ן	HD	adverb	adverb:anaphoric adverb:	None	?	:
Genesis 25:31	12917	מִכְרָ֥ה	HVqv2ms	verb	verb::	HSh	paragogic he	:
Genesis 25:32	12933	לָמָּה	HR	preposition	interrogative particle::	HTi	interrogative	:
Genesis 25:33	12940	הִשָּׁ֤בְעָה	HVNv2ms	verb	verb::	HSh	paragogic he	:
Genesis 26:1	13002	גְּרָֽרָה	HNp	proper name	proper noun::		?	:H
Genesis 26:33	13591	שִׁבְעָ֑ה	HAcmsa	cardinal number	proper noun::	None	?	:
Genesis 26:33	13598	שֶׁ֔בַע	HAcfsa	cardinal number	proper noun::	None	?	:
Genesis 27:3	13682	צ֥וּדָה	HVqv2ms	verb	verb::	HSh	paragogic he	:
Genesis 27:4	13693	הָבִ֥יאָה	HVhv2ms	verb	verb::	HSh	paragogic he	:
Genesis 27:4	13702	טֶ֥רֶם	HD	adverb	noun:potential preposition:	None	?	:
Genesis 27:18	13927	הִנֶּ֔נִּי	HTm	demonstrative	interjection::	HSp1cs	pronominal	p:N
Genesis 27:19	13953	תְּבָרֲכַ֥נִּי	HVpi3fs	verb	verb::	HSp1cs	pronominal	p:N
Genesis 27:31	14177	תְּבָרֲכַ֥נִּי	HVpi3fs	verb	verb::	HSp1cs	pronominal	p:N
Genesis 27:33	14215	טֶ֥רֶם	HD	adverb	noun:potential preposition:	None	?	:
Genesis 27:34	14241	גַם	HD	adverb	adverb:focus particle:	None	?	:
Genesis 27:38	14321	גַם	HD	adverb	adverb:focus particle:	None	?	:
Genesis 27:45	14450	אַף	HTa	affirmation	noun::	None	?	:
Genesis 27:45	14465	לָמָ֥ה	HR	preposition	interrogative particle::	HTi	interrogative	:
Genesis 27:46	14496	לָ֥מָּה	HR	preposition	interrogative particle::	HTi	interrogative	:
Genesis 28:13	14748	אֶתְּנֶ֖נָּה	HVqi1cs	verb	verb::	HSp3fs	pronominal	p:N
Genesis 28:16	14814	יֵ֣שׁ	HTm	demonstrative	noun:copulative noun:	None	?	:
Genesis 28:17	14835	אֵ֣ין	HTn	negative	noun:copulative noun:	None	?	:
Genesis 28:19	14886	רִאשֹׁנָֽה	HAafsa	adjective	adjective:ordinal:	None	?	:
Genesis 30:1	15615	אַ֖יִן	HTn	negative	noun:copulative noun:	None	?	:
Genesis 30:2	15620	אַ֥ף	HTa	affirmation	noun::	None	?	:
Genesis 30:15	15823	לָכֵן֙	HR	preposition	adverb:conjunctive adverb:	HD	adverb	:
Genesis 31:20	16737	בְּלִי֙	HTn	negative	noun:potential preposition:	None	?	:
Genesis 31:29	16894	יֶשׁ	HTm	demonstrative	noun:copulative noun:	None	?	:
Genesis 31:50	17327	אֵ֥ין	HTn	negative	noun:copulative noun:	None	?	:
Genesis 32:5	17500	תֹאמְר֔וּן	HVqi2mp	verb	verb:quotation verb:	HSn	paragogic nun	:
Genesis 32:20	17837	תְּדַבְּר֣וּן	HVpi2mp	verb	verb:quotation verb:	HSn	paragogic nun	:
Genesis 33:2	18114	רִֽאשֹׁנָ֑ה	HAafsa	adjective	adjective:ordinal:	None	?	:
Genesis 33:9	18231	יֶשׁ	HTm	demonstrative	noun:copulative noun:	None	?	:
Genesis 33:11	18278	יֶשׁ	HTm	demonstrative	noun:copulative noun:	None	?	:
Genesis 35:16	19358	אֶפְרָ֑תָה	HNp	proper name	proper noun::	None	?	:H
Genesis 35:19	19407	אֶפְרָ֔תָה	HNp	proper name	proper noun::	None	?	:H
Genesis 35:28	19526	מְאַ֥ת	HR	preposition	noun:cardinal:	None	?	:
Genesis 35:28	19527	שָׁנָ֖ה	HAcbsc	cardinal number	noun::	HNcfsa	common	:
Genesis 37:17	20482	דֹּתָ֑יְנָה	HNp	proper name	proper noun::		?	:H
Genesis 37:18	20499	טֶ֨רֶם֙	HD	adverb	noun:potential preposition:	None	?	:
Genesis 37:24	20615	אֵ֥ין	HTn	negative	noun:copulative noun:	None	?	:
