passage	node	occurrence	OSMmorph	OSMmorphSuffix	OSMtype	OSMsuffixType	BHStype	BHSsuffixType
Genesis 12:18	5826	לָ֚מָּה	HR	HTi	preposition	particle	interrogative particle:-:?	-:-
Genesis 12:19	5833	לָמָ֤ה	HR	HTi	preposition	particle	interrogative particle:-:?	-:-
Genesis 13:7	5986	כְּנַעֲנִי֙	HNgmsa	None	noun	?	adjective:gentilic:?	-:-
Genesis 13:7	5989	פְּרִזִּ֔י	HNgmsa	None	noun	?	adjective:gentilic:?	-:-
Genesis 13:9	6017	הֲ	HTi	None	particle	?	interrogative particle:interrogative particle:?	-:-
Genesis 13:15	6153	אֶתְּנֶ֑נָּה	HVqi1cs	HSp3fs	verb	suffix	verb:-:?	p:N
Genesis 13:17	6192	אֶתְּנֶֽנָּה	HVqi1cs	HSp3fs	verb	suffix	verb:-:?	p:N
Genesis 14:7	6337	אֱמֹרִ֔י	HNgmsa	None	noun	?	adjective:gentilic:?	-:-
Genesis 14:10	6404	שָׁ֑מָּה	HD	HSd	adverb	suffix	adverb:-:?	-:H
Genesis 15:2	6697	אֲדֹנָ֤י	HNcmpc	HSp1cs	noun	suffix	proper noun:-:?	-:-
Genesis 15:2	6699	מַה	HTi	None	particle	?	interrogative pronoun:-:?	-:-
Genesis 15:5	6749	ח֗וּצָה	HNcmsa	HSd	noun	suffix	noun:-:?	-:H
Genesis 15:5	6755	שָּׁמַ֗יְמָה	HNcmpa	HSd	noun	suffix	noun:-:?	-:H
Genesis 15:8	6801	אֲדֹנָ֣י	HNcmpc	HSp1cs	noun	suffix	proper noun:-:?	-:-
Genesis 15:8	6804	מָּ֥ה	HTi	None	particle	?	interrogative pronoun:-:?	-:-
Genesis 15:8	6807	אִֽירָשֶֽׁנָּה	HVqi1cs	HSp3fs	verb	suffix	verb:-:?	p:N
Genesis 15:9	6811	קְחָ֥ה	HVqv2ms	HSh	verb	suffix	verb:-:?	-:-
Genesis 15:14	6912	כֵ֥ן	HD	None	adverb	?	adverb:anaphoric adverb:?	-:-
Genesis 16:7	7176	דֶ֥רֶךְ	HNcbsc	None	noun	?	noun:potential preposition:?	-:-
Genesis 16:8	7183	אֵֽי	HTi	None	particle	?	interrogative particle:-:?	-:-
Genesis 16:8	7188	אָ֣נָה	HTi	None	particle	?	interrogative particle:-:?	-:-
Genesis 16:13	7274	הֲ	HTi	None	particle	?	interrogative particle:interrogative particle:?	-:-
Genesis 16:13	7275	גַ֥ם	HD	None	adverb	?	adverb:focus particle:?	-:-
Genesis 16:14	7281	כֵּן֙	HTm	None	particle	?	adverb:anaphoric adverb:?	-:-
Genesis 17:17	7608	הַ	HTi	None	particle	?	interrogative particle:interrogative particle:?	-:-
Genesis 17:17	7617	הֲ	HTi	None	particle	?	interrogative particle:interrogative particle:?	-:-
Genesis 18:3	7844	אֲדֹנָ֗י	HNcmpc	HSp1cs	noun	suffix	proper noun:-:?	-:-
Genesis 18:5	7880	כֵּ֥ן	HTm	None	particle	?	adverb:anaphoric adverb:?	-:-
Genesis 18:5	7886	כֵּ֥ן	HTm	None	particle	?	adverb:anaphoric adverb:?	-:-
Genesis 18:9	7959	אַיֵּ֖ה	HTi	None	particle	?	interrogative particle:-:?	-:-
Genesis 18:13	8030	לָ֣מָּה	HR	HTi	preposition	particle	interrogative particle:-:?	-:-
Genesis 18:14	8043	הֲ	HTi	None	particle	?	interrogative particle:interrogative particle:?	-:-
Genesis 18:17	8095	הַֽ	HTi	None	particle	?	interrogative particle:interrogative particle:?	-:-
Genesis 18:19	8132	דֶּ֣רֶךְ	HNcbsc	None	noun	?	noun:potential preposition:?	-:-
Genesis 18:21	8166	הַ	HTi	None	particle	?	interrogative particle:interrogative particle:?	-:-
Genesis 18:22	8186	סְדֹ֑מָה	HNp		noun	?	proper noun:-:?	-:H
Genesis 18:24	8206	יֵ֛שׁ	HTm	None	particle	?	noun:copulative noun:?	-:-
Genesis 18:27	8293	אֲדֹנָ֔י	HNcmpc	HSp1cs	noun	suffix	proper noun:-:?	-:-
Genesis 19:1	8429	סְדֹ֨מָה֙	HNp		noun	?	proper noun:-:?	-:H
